epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2087,3.3753,5.00304,1.76623,9e-05,0.00397,0.0001,2e-05,3.03749,4.87711,1.52953,2.307e-05,2.307e-05,2.307e-05
2,23.4048,3.21461,4.86761,1.69438,0.00011,0.00397,0.00011,2e-05,2.79858,4.80697,1.41637,5.32971e-05,5.32971e-05,5.32971e-05
3,35.1021,2.89761,4.73255,1.46461,0.00011,0.00397,0.00011,2e-05,2.55931,4.74606,1.3112,8.29151e-05,8.29151e-05,8.29151e-05
4,46.7597,2.66207,4.57997,1.32771,0.00011,0.00397,0.00011,2e-05,2.47034,4.68579,1.23585,0.000111924,0.000111924,0.000111924
5,58.2042,2.67898,4.41464,1.27389,0.00011,0.00397,0.00011,2e-05,2.45811,4.64915,1.21403,0.000140324,0.000140324,0.000140324
6,70.0372,2.74218,4.25465,1.2718,0.00011,0.00397,0.00011,2e-05,2.39764,4.62246,1.19407,0.000168115,0.000168115,0.000168115
7,81.7357,2.64309,4.10661,1.23342,0.00097,0.01481,0.00771,0.00304,2.35041,4.5847,1.18737,0.000195297,0.000195297,0.000195297
8,93.2696,2.67174,3.92187,1.19986,0.00146,0.02963,0.01198,0.00502,2.40955,4.54771,1.21487,0.00022187,0.00022187,0.00022187
9,104.635,2.48039,3.66766,1.16405,0.00338,0.06111,0.02227,0.01081,2.58365,4.51395,1.28235,0.000247833,0.000247833,0.000247833
10,116.723,2.40419,3.42176,1.09953,0.00585,0.10271,0.03201,0.01619,2.7098,4.469,1.33761,0.000273188,0.000273188,0.000273188
11,128.396,2.32105,3.14465,1.11504,0.0072,0.13915,0.03303,0.01529,2.85764,4.39167,1.38396,0.000297934,0.000297934,0.000297934
12,139.854,2.37274,2.96565,1.09667,0.01269,0.19903,0.04684,0.01785,2.86557,4.2294,1.37542,0.00032207,0.00032207,0.00032207
13,151.647,2.35516,2.95814,1.08452,0.01987,0.28102,0.07847,0.03052,2.75204,4.00612,1.30994,0.000345598,0.000345598,0.000345598
